ID_Consumidor,Genero,Idoso,Parceiro,Dependentes,Nro_Meses_Cliente_na_Empresa,Servico_Telefone,Muitas_Linhas_Telefone,Servico_Internet,Seguranca_OnLine,Backup_OnLine,Dispositivo_Protecao,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Contrato,Faturamento_Sem_Papel,Metodo_Pagamento,Valor_Mensal,Valor_Total,Rotatividade
0817-HSUSE,M,0,N,N,1,S,N,DSL,N,N,S,S,S,S,Mes-a-mes,S,Cheque_Eletronico ,75.5,75.5,N
5442-PPTJY,M,0,S,S,12,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cheque_Fisico,19.7,258.35,N
1927-QEWMY,F,0,S,N,72,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cartao_Credito,20.5,1502.25,N
1663-MHLHE,M,0,N,N,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,19.2,19.2,N
5663-QBGIS,M,1,S,N,72,S,S,Fibra_otica,N,S,N,N,S,S,Bi-Anual,N,Transferencia_bancaria,98.35,6929.4,N
4450-MDZFX,M,0,S,S,60,S,S,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,N,Transferencia_bancaria,74.35,4453.3,N
6701-DHKWQ,F,0,S,S,61,N,Sem_Telefone,DSL,N,S,S,S,S,N,Bi-Anual,N,Cartao_Credito,51.35,3244.4,N
7554-AKDQF,F,0,S,N,6,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,N,Cheque_Fisico,45.65,323.45,N
3536-IQCTX,M,1,S,N,32,S,S,Fibra_otica,N,N,N,N,N,S,Mes-a-mes,N,Cheque_Eletronico ,85.3,2661.1,S
4911-BANWH,F,0,N,S,31,S,S,Fibra_otica,N,N,N,N,S,N,Mes-a-mes,S,Cartao_Credito,86.55,2697.4,S
8496-EJAUI,M,0,N,N,19,S,N,Fibra_otica,N,S,N,N,N,N,Mes-a-mes,S,Cartao_Credito,73.85,1424.5,S
0794-YVSGE,M,0,S,S,72,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Transferencia_bancaria,20.3,1401.15,N
5423-BHIXO,F,0,N,N,32,S,S,DSL,N,S,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,54.2,1739.6,N
6908-VVYHM,M,0,S,N,65,S,S,Fibra_otica,N,S,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,90.65,5931.0,N
2959-EEXWB,F,0,S,S,45,N,Sem_Telefone,DSL,S,N,N,N,S,S,Mes-a-mes,S,Transferencia_bancaria,50.9,2333.85,N
1839-UMACK,M,0,N,N,42,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Eletronico ,25.05,949.85,N
3030-YDNRM,M,0,N,N,8,S,S,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,74.85,572.45,N
7321-KKSDU,M,0,N,S,32,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cheque_Fisico,20.5,696.8,N
3402-XRIUO,F,1,S,N,22,S,S,DSL,S,S,N,S,N,N,Mes-a-mes,S,Cheque_Fisico,63.55,1381.8,N
3132-TVFDZ,M,1,S,N,57,N,Sem_Telefone,DSL,N,N,N,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,44.85,2572.95,S
8286-AFUYI,M,0,N,N,1,S,N,DSL,S,N,N,N,N,N,Mes-a-mes,N,Cheque_Eletronico ,47.95,47.95,N
8080-DDEMJ,M,1,N,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,N,Cheque_Eletronico ,45.1,45.1,S
8356-WUAOJ,F,0,S,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,45.0,45.0,N
6365-MTGZX,M,0,N,N,24,S,N,Fibra_otica,N,N,N,S,S,S,Mes-a-mes,S,Cheque_Eletronico ,96.0,2122.45,S
1349-WXNGG,M,0,N,N,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Transferencia_bancaria,20.05,20.05,S
8058-DMYRU,M,1,N,N,54,S,S,Fibra_otica,N,S,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,90.05,4931.8,N
9350-ZXYJC,F,0,N,N,4,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,S,Cartao_Credito,25.3,116.95,N
6990-YNRIO,M,0,S,S,65,S,S,Fibra_otica,S,N,S,S,S,S,Bi-Anual,N,Transferencia_bancaria,108.65,6937.95,S
8958-JPTRR,F,0,S,N,56,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Eletronico ,24.3,1261.7,N
6959-GQEGV,M,0,N,N,45,S,N,DSL,S,N,S,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,75.95,3273.8,N
3173-WSSUE,F,0,S,S,71,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cartao_Credito,19.7,1415.85,N
1265-HVPZB,M,0,S,N,59,S,N,DSL,S,S,S,N,S,N,Anual,N,Cartao_Credito,66.4,3958.2,N
4115-UMJFQ,M,0,N,N,69,N,Sem_Telefone,DSL,N,S,S,N,N,N,Anual,S,Transferencia_bancaria,35.75,2492.25,N
7369-TRPFD,M,0,N,N,19,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Fisico,18.8,279.2,N
1098-KFQEC,F,0,S,S,55,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cartao_Credito,19.4,1083.0,N
7190-XHTWJ,F,0,N,N,38,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Fisico,19.3,755.5,N
0621-TWIEM,M,0,N,N,10,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,45.55,402.6,S
3537-RYBHH,F,1,S,N,47,S,S,DSL,S,S,S,N,N,N,Mes-a-mes,S,Cartao_Credito,67.45,3252.0,N
2485-ITVKB,F,0,S,N,2,N,Sem_Telefone,DSL,N,N,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,35.1,68.75,S
3669-OYSJI,M,0,N,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,N,Cartao_Credito,46.2,46.2,S
1612-EOHDH,F,0,N,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,N,Cheque_Eletronico ,45.15,45.15,S
6702-OHFWR,M,1,N,N,1,N,Sem_Telefone,DSL,N,S,S,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,43.3,43.3,S
5296-BFCYD,M,0,S,S,46,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,S,Cheque_Fisico,20.1,936.85,N
4510-PYUSH,F,1,N,N,38,S,N,DSL,S,S,N,N,N,N,Mes-a-mes,S,Cartao_Credito,57.15,2250.65,S
9359-JANWS,F,0,S,N,65,S,N,DSL,S,N,S,S,N,N,Bi-Anual,N,Cartao_Credito,58.9,3857.1,N
7517-SAWMO,F,0,S,N,19,S,N,Fibra_otica,S,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,73.2,1441.1,S
4143-HHPMK,M,0,N,N,52,S,N,Fibra_otica,N,S,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,85.35,4338.6,S
3279-DYZQM,M,0,S,S,71,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cheque_Fisico,19.45,1378.45,N
7054-LGEQW,F,0,N,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,N,Cheque_Fisico,45.95,45.95,S
0523-VNGTF,F,1,N,N,52,N,Sem_Telefone,DSL,N,S,S,S,S,N,Mes-a-mes,S,Cheque_Eletronico ,50.5,2566.3,N
9575-IWCAZ,M,0,S,N,6,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Fisico,25.1,171.0,N
7105-MXJLL,F,1,S,N,26,S,N,DSL,N,N,S,N,N,S,Anual,N,Cheque_Fisico,60.7,1597.4,N
7064-FRRSW,M,1,N,N,48,S,S,Fibra_otica,N,S,N,N,S,S,Anual,S,Cheque_Eletronico ,99.0,4744.35,N
7940-UQQUG,F,0,S,S,64,S,S,Fibra_otica,S,N,N,S,S,S,Anual,S,Transferencia_bancaria,104.4,6721.6,N
0923-PNFUB,F,0,N,N,3,S,N,Fibra_otica,N,S,N,N,S,N,Mes-a-mes,N,Cheque_Eletronico ,83.75,247.25,S
3961-SXAXY,M,0,N,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,S,Transferencia_bancaria,44.05,44.05,N
7010-BRBUU,M,0,S,S,72,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cartao_Credito,24.1,1734.65,N
3566-HJGPK,M,0,N,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Fisico,45.55,45.55,N
3062-ICYZQ,F,0,S,S,51,S,S,Fibra_otica,S,S,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,93.8,4539.35,N
9938-PRCVK,F,0,S,S,41,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Transferencia_bancaria,19.7,804.25,N
0973-KYVNF,F,0,S,S,72,S,N,DSL,S,S,S,N,S,N,Bi-Anual,S,Cartao_Credito,70.65,5011.15,N
5129-HHMZC,F,0,S,N,43,S,S,DSL,S,S,N,S,S,S,Bi-Anual,N,Cartao_Credito,86.45,3574.5,N
9637-CDTKZ,M,0,S,N,72,S,S,Fibra_otica,S,S,S,S,S,S,Bi-Anual,S,Cartao_Credito,114.1,8086.4,N
3946-JEWRQ,M,0,S,N,47,S,S,Fibra_otica,N,N,N,N,S,S,Anual,S,Cartao_Credito,95.2,4563.0,N
7873-CVMAW,M,0,N,N,72,S,S,DSL,S,S,S,S,S,S,Bi-Anual,N,Cartao_Credito,88.55,6362.35,N
0463-WZZKO,M,0,N,N,3,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,S,Cartao_Credito,20.75,67.1,N
3494-JCHRQ,M,0,N,N,1,S,N,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,70.05,70.05,S
6474-FVJLC,M,0,N,N,2,S,S,Fibra_otica,N,N,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,86.0,165.45,S
4524-QCSSM,M,0,N,N,26,N,Sem_Telefone,DSL,S,S,N,N,N,S,Mes-a-mes,S,Transferencia_bancaria,44.65,1156.55,N
5832-EXGTT,M,0,S,S,29,S,N,DSL,S,N,N,N,N,S,Mes-a-mes,S,Cheque_Fisico,60.2,1834.15,N
8840-DQLGN,F,1,S,N,35,S,S,Fibra_otica,S,S,N,S,S,N,Mes-a-mes,S,Transferencia_bancaria,100.5,3653.35,S
2039-JONDJ,M,0,N,N,27,S,N,DSL,S,S,N,N,N,N,Anual,N,Transferencia_bancaria,55.45,1477.65,N
7217-JYHOQ,M,0,S,S,24,S,N,DSL,S,S,N,S,N,S,Mes-a-mes,S,Cartao_Credito,70.3,1706.45,N
6695-FRVEC,M,0,S,S,67,S,N,DSL,S,N,S,S,N,N,Bi-Anual,S,Transferencia_bancaria,60.4,3953.7,N
4547-LYTDD,F,0,N,N,16,S,S,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,N,Cheque_Eletronico ,72.65,1194.3,S
9894-QMIMJ,F,0,N,N,23,S,N,DSL,N,S,S,N,N,N,Anual,N,Transferencia_bancaria,55.8,1327.85,N
8069-YQQAJ,M,0,N,N,14,N,Sem_Telefone,DSL,N,S,N,N,N,N,Mes-a-mes,S,Cheque_Fisico,31.1,419.7,N
6770-XUAGN,F,0,S,S,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,S,Cheque_Eletronico ,21.0,21.0,S
4193-ORFCL,F,1,N,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,N,Cheque_Fisico,45.1,45.1,S
1636-NTNCO,M,1,N,N,4,N,Sem_Telefone,DSL,N,S,N,N,S,S,Mes-a-mes,S,Cartao_Credito,50.95,207.35,N
3466-WAESX,M,0,N,S,16,S,S,DSL,S,S,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,69.1,1083.7,N
9281-PKKZE,F,0,S,N,46,N,Sem_Telefone,DSL,N,N,N,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,43.95,2007.85,N
3638-VBZTA,M,0,N,S,68,S,S,DSL,S,S,N,S,S,S,Bi-Anual,S,Transferencia_bancaria,86.5,5882.75,N
7459-IMVYU,M,0,N,N,38,S,S,DSL,S,S,S,S,N,N,Mes-a-mes,N,Cheque_Eletronico ,69.95,2657.55,N
7776-QWNFX,M,1,S,N,30,S,N,DSL,N,S,N,N,N,N,Mes-a-mes,S,Transferencia_bancaria,50.4,1527.5,S
6689-TCZHQ,F,1,N,N,5,S,N,Fibra_otica,N,N,N,N,N,S,Mes-a-mes,N,Cheque_Eletronico ,78.95,378.4,S
8563-OYMQY,M,0,N,N,17,S,N,Fibra_otica,N,S,S,N,N,S,Mes-a-mes,S,Cartao_Credito,90.95,1612.2,N
0754-EEBDC,M,0,S,S,4,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cheque_Fisico,19.9,76.65,N
5777-ZPQNC,F,0,N,N,12,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Eletronico ,20.15,260.7,N
1951-IEYXM,M,0,S,S,72,S,S,DSL,S,S,S,S,S,S,Bi-Anual,S,Cartao_Credito,90.6,6441.85,N
3318-NMQXL,M,0,N,N,3,S,N,Fibra_otica,N,N,N,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,92.0,266.8,N
3143-ILDAL,M,0,N,N,56,S,S,Fibra_otica,N,S,N,S,N,S,Mes-a-mes,S,Cheque_Eletronico ,94.45,5124.6,S
1022-RKXDR,F,0,N,N,41,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,S,Cheque_Fisico,24.85,962.25,N
2361-FJWNO,M,0,N,N,40,N,Sem_Telefone,DSL,N,S,N,S,N,N,Anual,N,Cartao_Credito,36.0,1382.9,N
2272-UOINI,F,0,N,N,7,S,N,DSL,S,S,N,S,S,S,Mes-a-mes,S,Cheque_Eletronico ,78.5,571.05,N
8232-UTFOZ,M,0,N,N,69,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cartao_Credito,19.95,1399.35,N
3750-YHRYO,M,0,S,S,7,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Fisico,20.65,150.0,N
6637-KYRCV,F,0,S,S,5,N,Sem_Telefone,DSL,N,S,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,30.5,167.2,N
5668-MEISB,F,0,S,S,72,S,S,Fibra_otica,S,S,S,S,S,N,Bi-Anual,N,Cartao_Credito,106.1,7657.4,N
0129-QMPDR,M,0,S,S,44,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,S,Transferencia_bancaria,20.5,865.05,N
7188-CBBBA,F,0,N,N,65,S,S,Fibra_otica,N,S,S,N,S,N,Anual,S,Cheque_Eletronico ,95.5,6153.85,N
5356-CSVSQ,F,0,N,N,3,S,S,DSL,N,N,N,S,S,N,Mes-a-mes,N,Cheque_Eletronico ,64.6,174.2,N
3221-CJMSG,M,0,N,N,24,S,N,DSL,N,N,N,S,N,N,Mes-a-mes,S,Cartao_Credito,51.1,1269.6,N
4720-VSTSI,F,0,N,N,44,S,S,Fibra_otica,N,S,S,N,N,N,Mes-a-mes,S,Transferencia_bancaria,84.8,3862.55,S
3219-JQRSL,F,1,S,N,72,S,S,DSL,S,S,S,S,S,S,Bi-Anual,N,Cartao_Credito,89.1,6352.4,N
2801-NISEI,M,0,N,N,24,S,N,DSL,S,N,N,S,N,N,Mes-a-mes,N,Cheque_Eletronico ,54.95,1348.5,N
3946-MHCZW,M,0,N,N,1,S,N,DSL,N,N,S,N,N,N,Mes-a-mes,N,Cheque_Fisico,50.9,50.9,S
4623-ZKHLY,M,0,S,N,22,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,S,Transferencia_bancaria,20.45,471.55,N
6732-VAILE,M,0,S,S,70,S,S,DSL,N,S,S,S,S,S,Bi-Anual,S,Cartao_Credito,85.95,5931.75,N
8201-AAXCB,M,0,S,S,25,S,S,DSL,N,N,N,N,S,N,Mes-a-mes,N,Cheque_Eletronico ,60.35,1404.65,N
7696-CFTAT,M,0,S,S,37,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Transferencia_bancaria,19.8,726.1,N
1845-CSBRZ,F,1,S,S,22,S,S,Fibra_otica,N,N,N,N,S,N,Mes-a-mes,N,Transferencia_bancaria,85.35,1961.6,N
2123-VSCOT,F,0,S,S,59,S,S,DSL,N,N,S,S,S,N,Bi-Anual,S,Transferencia_bancaria,72.1,4194.85,N
6651-AZVTJ,M,0,S,S,49,S,S,Fibra_otica,N,N,S,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,99.8,4872.45,S
4566-GOLUK,M,0,S,S,47,S,S,Fibra_otica,N,N,S,S,S,S,Mes-a-mes,S,Transferencia_bancaria,107.35,5118.95,S
2484-DGXPZ,F,0,S,S,31,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,S,Cheque_Fisico,19.55,658.95,S
2018-QKYGT,M,0,S,S,1,S,N,Fibra_otica,N,N,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,81.05,81.05,N
2792-VPPET,M,0,N,N,3,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,S,Cheque_Eletronico ,20.5,76.95,N
7409-JURKQ,F,0,S,N,53,S,S,Fibra_otica,N,S,S,S,S,S,Anual,S,Transferencia_bancaria,111.8,5809.75,N
3247-MHJKM,M,0,N,N,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,20.2,20.2,N
1964-SVLEA,M,0,N,N,20,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,S,Cheque_Fisico,19.7,415.9,N
4587-NUKOX,F,0,N,N,3,S,N,Fibra_otica,S,S,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,79.1,246.5,S
7297-DVYGA,F,0,N,N,51,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,S,Transferencia_bancaria,19.85,996.95,N
2239-CGBUZ,F,0,S,N,51,S,N,DSL,S,S,N,S,N,N,Anual,S,Transferencia_bancaria,60.5,3145.15,N
0854-UYHZD,F,0,S,S,13,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cheque_Fisico,19.55,265.3,N
7243-LCGGZ,F,0,N,N,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,20.9,20.9,N
8267-KFGYD,M,0,N,S,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,S,Cheque_Fisico,21.05,21.05,N
4890-VMUAV,M,0,N,N,63,S,S,DSL,S,S,S,S,N,N,Anual,N,Cheque_Eletronico ,71.5,4576.3,N
9261-WDCAF,M,0,N,N,3,S,N,DSL,N,N,N,N,N,S,Mes-a-mes,N,Cheque_Fisico,54.65,189.1,N
3764-MNMOI,M,0,N,N,46,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cartao_Credito,19.2,908.15,N
7442-YGZFK,M,0,N,N,1,S,S,DSL,N,N,N,N,N,N,Mes-a-mes,S,Cartao_Credito,49.8,49.8,N
0420-BWTPW,M,0,N,S,8,N,Sem_Telefone,DSL,N,N,N,N,N,N,Mes-a-mes,N,Cheque_Fisico,25.5,215.2,S
8229-BUJHX,F,0,S,S,71,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Transferencia_bancaria,20.5,1500.95,N
7449-HVPIV,M,0,S,S,55,S,S,Fibra_otica,N,N,S,N,S,N,Mes-a-mes,S,Cartao_Credito,90.4,5099.15,N
5504-WSIUR,F,0,N,N,70,S,S,Fibra_otica,N,S,S,S,N,N,Anual,S,Transferencia_bancaria,90.25,6385.95,N
8183-ONMXC,F,0,N,N,2,S,N,Fibra_otica,N,N,N,N,N,S,Mes-a-mes,N,Cheque_Eletronico ,80.75,159.45,S
8466-PZBLH,M,0,S,S,67,S,S,Fibra_otica,S,N,N,S,S,S,Bi-Anual,N,Transferencia_bancaria,104.6,6885.75,N
9614-RMGHA,M,0,S,N,65,S,S,Fibra_otica,N,S,N,N,S,N,Mes-a-mes,S,Transferencia_bancaria,91.85,5940.85,S
8735-IJJEG,M,0,S,N,14,S,N,DSL,N,N,S,N,N,N,Mes-a-mes,N,Cartao_Credito,50.2,668.85,N
0564-MUUQK,F,0,S,S,20,S,S,Fibra_otica,N,N,S,S,N,S,Mes-a-mes,S,Transferencia_bancaria,95.5,1916.2,N
5054-IEXZT,M,0,N,S,1,S,N,Fibra_otica,N,S,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,75.35,75.35,S
5834-ASPWA,M,0,N,N,1,S,S,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,75.45,75.45,S
0701-RFGFI,F,0,S,S,49,S,S,Fibra_otica,N,N,N,N,S,S,Mes-a-mes,S,Transferencia_bancaria,95.4,4613.95,N
0019-EFAEP,F,0,N,N,72,S,S,Fibra_otica,S,S,S,N,S,N,Bi-Anual,S,Transferencia_bancaria,101.3,7261.25,N
5619-PTMIK,F,0,S,N,46,S,S,DSL,S,N,N,N,N,N,Mes-a-mes,N,Cheque_Eletronico ,53.1,2459.8,N
3737-XBQDD,M,0,N,N,24,S,S,Fibra_otica,N,S,S,N,N,N,Mes-a-mes,S,Transferencia_bancaria,84.85,2048.8,N
5882-CMAZQ,F,0,S,S,5,N,Sem_Telefone,DSL,N,S,N,S,N,N,Mes-a-mes,N,Cheque_Eletronico ,34.25,163.55,N
5846-QFDFI,F,0,S,S,33,S,S,Fibra_otica,N,S,S,S,N,N,Mes-a-mes,N,Cartao_Credito,88.6,2888.7,N
4445-KWOKW,F,0,N,N,42,S,S,DSL,S,S,N,N,N,N,Anual,S,Transferencia_bancaria,60.15,2421.6,N
3511-APPBJ,M,0,N,N,23,S,N,Fibra_otica,S,N,S,N,S,S,Anual,S,Cartao_Credito,99.95,2292.75,N
7967-HYCDE,M,0,N,N,8,S,N,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,N,Transferencia_bancaria,70.7,553.4,N
2430-RRYUW,M,0,N,N,66,S,N,DSL,S,S,N,N,N,N,Anual,S,Cheque_Fisico,54.8,3465.7,N
3948-XHGNA,M,0,N,N,24,S,N,DSL,S,N,N,N,N,N,Mes-a-mes,S,Transferencia_bancaria,49.55,1210.4,S
3723-BFBGR,M,1,N,N,24,S,S,DSL,N,S,N,N,N,N,Mes-a-mes,N,Cartao_Credito,54.8,1291.3,N
0565-IYCGT,M,0,N,N,69,S,S,DSL,S,S,S,S,N,S,Anual,S,Cartao_Credito,78.6,5356.45,S
5447-WZAFP,F,0,N,N,53,S,N,Fibra_otica,N,S,S,N,S,S,Anual,S,Cheque_Fisico,100.3,5200.8,N
5110-CHOPY,F,0,N,N,60,N,Sem_Telefone,DSL,S,N,S,N,S,S,Bi-Anual,N,Cheque_Eletronico ,53.6,3237.05,N
5445-UTODQ,F,0,S,N,7,S,N,Fibra_otica,N,N,N,N,S,N,Mes-a-mes,S,Cheque_Eletronico ,81.1,576.65,S
4425-OWHWB,F,0,N,N,20,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,S,Cartao_Credito,19.35,433.75,N
